id,name,description,image_url,game_url
1,Stick fight the game,4 colored stick figures fighting for a crown,https://www.heypoorplayer.com/wp-content/uploads/2021/04/Stick-Fight-Logo.jpeg,./games/stick-fight.html
2,Stick it to the stickman,A blue stickman shooting off other stickman,https://www.heypoorplayer.com/wp-content/uploads/2022/08/SITTSM_Key_Art_v008-scaled.jpg,./games/stickman-shooter.html
3,Stickman king,A king stickman fighting challenger stickmen,https://imgs.crazygames.com/stickman-king_16x9/20241217032120/stickman-king_16x9-cover?metadata=none&quality=100&width=1200&height=630&fit=crop,./games/stickman-king.html
4,Stickman rebirth,A stickman fighting 3 stickman bosses,"https://cdn.puzzio.io/dlygtl5qb/image/upload/f_auto,q_auto/v1769557442/stickman-rebirth-physics-based-action-browser-game.jpg",./games/stickman-rebirth.html
